name,id,wikipedia_,gender,scale,length
Thames,"121035142",,Male,"-0.5",199.603675100237
Avenida Juan Bautista Justo,"128824036",,Male,"-0.99",57.4164571196809
Avenida Juan Bautista Justo,"128824038",,Male,"-0.99",23.5521777060381
Florencio Varela,"275104809",,Male,"-0.5",366.104558536019
Metrobus Juan Bautista Justo,"307250083",,Male,"-0.99",41.7645409211836
General San Martín,"545355249",,Male,"-0.44",18.5103188313343
Nicasio Oroño,"9972226",,Male,"-1.0",39.5932095465788
General Manuel A. Rodríguez,"10046665",,Male,"-0.5",158.971381545255
Avenida General Mosconi,"10054711",,Male,"-0.5",152.247684114412
Concepción Arenal,"10059145",https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal,Female,"0.97",574.27488976416
Avenida Álvarez Thomas,"10238786",,Male,"-0.99",137.833242175117
Montenegro,"10257905",,Male,"-0.5",156.002847558085
Crámer,"10429066",,Male,"-0.5",122.787435965167
Almirante Juan Pablo Sáenz Valiente,"10433599",,Male,"-0.5",376.264816833478
Serrano,"10799391",,Male,"-0.5",43.998833757733
Valentín Virasoro,"10800054",,Male,"-0.5",632.850259778339
Aguilar,"10803951",,Male,"-0.5",358.234820192214
Doctor Adolfo Dickman,"10812215",,Male,"-0.5",61.9461691337976
San Nicolás,"17088727",,Male,"-0.5",189.526884910331
José Pedro Varela,"17447681",,Male,"-0.42",5.77793081455955
Avenida Eduardo Madero,"18827289",,Male,"-1.0",636.409894578322
Jean Jaures,"18906689",,Male,"-1.0",170.814096758448
Martiniano Leguizamón,"19232930",,Male,"-0.5",1209.03526023572
José Ignacio Rucci,"19232968",,Male,"-0.36",404.954252457623
Avenida Coronel Cárdenas,"19232986",,Male,"-1.0",200.955501171329
Justo Antonio Suárez,"19232992",,Male,"-0.5",358.253657178871
San Pedro,"19233046",,Male,"-0.25",227.131921889933
Gregorio de Laferrere,"19233050",,Male,"-0.99",410.168358182263
Coronel Salvadores,"19782586",,Male,"-1.0",84.6530421571276
Ministro Brin,"19782855",,Male,"-1.0",160.989068632291
Avenida General Francisco Fernández de La Cruz,"19787453",,Male,"-1.0",448.602130324522
José Barros Pazos,"19787463",,Male,"-0.3",159.110952283916
Avenida Varela,"19788321",,Male,"-0.5",278.605747447779
Thorne,"19788541",,Male,"-0.5",7.45523368410422
Coronel Ramón Lorenzo Falcón,"20283795",,Male,"-0.5",267.34996129643
Baldomero Fernández Moreno,"20284680",,Male,"-0.5",2775.89172634304
Boulevard Rosario Vera Peñaloza,"21122433",https://es.wikipedia.org/wiki/Rosario_Vera_Pe%C3%B1aloza,Female,"0.91",146.30192049678
Azucena Villaflor,"21122458",https://es.wikipedia.org/wiki/Azucena_Villaflor,Female,"1.0",44.252676092863
Araujo,"21625046",,Male,"-0.5",88.1817240099895
Comandante Francisco Carbonari,"21844185",,Male,"-1.0",153.681942617073
Concepción Arenal,"22010297",https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal,Female,"0.97",194.770009994041
Julieta Lanteri,"22100498",https://es.wikipedia.org/wiki/Julieta_Lanteri,Female,"1.0",48.9340834238044
José Hernández,"22565618",,Male,"-0.5",755.183706495937
Fernández de Enciso,"22568434",,Male,"-0.46",116.084557053831
Gabriela Mistral,"22568591",https://es.wikipedia.org/wiki/Gabriela_Mistral,Female,"1.0",79.7687590213818
José Cubas,"22568592",,Male,"-0.3",221.190396078659
Martín Grandoli,"23137153",,Male,"-0.5",275.531556211848
Ingeniero Enrique Butty,"23858877",,Male,"-0.5",139.222773999596
Juan José Paso,"26587990",,Male,"-1.0",245.335229468257
Manuel Estévez,"26589041",,Male,"-0.5",699.628808392797
Doctor Estanislao S. Zeballos,"26589910",,Male,"-0.96",223.710475067036
Lucio Vicente López,"26590225",,Male,"-0.5",160.654174269314
Lucio Vicente López,"26590226",,Male,"-0.5",574.243137281603
Ricardo Gutiérrez,"26590227",,Male,"-1.0",30.2940488705613
José Manuel Estrada,"26590232",,Male,"-0.45",312.221540995851
Juan de Ayolas,"26590839",,Male,"-0.99",184.041354676477
